Title,Summary,Cosine Similarity,Label
Prabowo Sarankan Otorita Prioritaskan Bangun Gedung Lembaga Negara di IKN,"Menhan sekaligus Presiden terpilih Prabowo Subianto bicara terkait prioritas pembangunan di Ibu Kota Negara (IKN) Nusantara. Kalau menurut saya ibu kota negara intinya adalah pusat pemerintahan, berarti yudiaktif, eksekutif dan legislatif, berarti gedung MPR/DPR menjadi prioritas dengan perumahan anggota DPR dan MPR dan ruangan kantornya dan juga MA, MK juga sangat mendesak menurut saya,"" kata Prabowo saat memberikan keterangan di sidang kabinet perdana di Istana Garuda, Senin 12 Agustus 2024. Prabowo juga berharap agar Otorita IKN segera membuat sayembara desain untuk pembangunan gedung-gedung prioritas tersebut. Komentar saya tentunya kepada otorita, terutama terima kasih atas jeri payah dan prestasi yang sudah dicapai, saya sebagai anak bangsa melihat, saya juga cukup bangga nuansa budaya bangsa kita sangat kuat dan ini juga membesarkan hati ini juga membuat saya ingin cepat beroperasi di sini Pak,"" kata Prabowo yang disambut tepuk tangan jajaran kabinet. Prabowo lantas permisi di depan Jokowi karena akan menjadi yang pertama menempati IKN nantinya.",0.93743182,relevan
Warga Sebut Mobil Nyangkut di Separator Margonda Usai Tabrak 5 Kendaraan,"Mobil mengalami kecelakaan hingga tersangkut di separator Jalan Margonda Raya, Depok, Jawa Barat. Saksi bernama Ridwan (32) mengatakan mobil itu sempat menabrak empat motor dan satu mobil. Sopir mengaku mengantuk dan kaget saat menabrak. "" Terseret 4 meter langsung tancap gas hilang kendali nabrak mobil lagi di belokan situ baru nabrak tukang parkir. Nabrak motor satu dia panik ditabrak semua keseret,"" jelasnya. "" Nabrak motor sekitar lima sama mobil satu. Kondisi pemotor) Yang perempuan yang sempat kelindes saya balik badan, saya cari teman saya dan ternyata teman saya tangannya patah. Dia mengatakan ada 7 korban dalam peristiwa itu. Korban luka sekitar tujuh orangan, motor 4, mobil 1. Saya kurang tahu persis, tapi kelindes dia. Sopir nggak luka, hanya panik saja,"" tutupnya. Sebelumnya, mobil mengalami kecelakaan hingga tersangkut di separator Jalan Margonda Raya, Depok, Jawa Barat. Pantauan di lokasi, pukul 20.00 WIB, Senin 12 Agustus, kecelakaan terjadi tepatnya di depan U-turn Perumahan Pesona Khayangan. Mobil berwarna silver itu mengalami ringsek di bagian kanan depan. Mobil itu tersangkut di tengah separator jalan. Sejumlah warga hingga ojek online (ojol) berkumpul di lokasi.",0.88776305,relevan
Penyidikan Kasus Surya Darmadi Dihentikan KPK karena Tak Cukup Bukti,"Komisi Pemberantasan Korupsi (KPK) telah menerbitkan surat perintah penghentian penyidikan (SP3) perkara bos PT Duta Palma, Surya Darmadi, dalam kasus dugaan suap terkait alih fungsi hutan di Provinsi Riau. Surat itu tertanda Nomor B/360/DIK.00/23/06/2024 yang ditujukan kepada Surya Darmadi. Tertulis dalam dokumen itu, SP3 perkara Surya dilakukan pada 14 Juni 2024. "" Namun, untuk alasan persisnya, belum disampaikan. "" Baik Annas maupun Gulat telah divonis bersalah hingga putusannya berkekuatan hukum tetap. Sedangkan 2 tersangka lainnya adalah Suheri Terta sebagai Legal Manager PT Duta Palma Group tahun 2014 dan Surya Darmadi sebagai pemilik PT Darmex Group atau PT Duta Palma. Mereka diduga terlibat dalam kasus suap terkait pengajuan revisi alih fungsi hutan di Provinsi Riau pada Kementerian Kehutanan tahun 2014. "" Setelah menemukan bukti permulaan yang cukup, KPK meningkatkan perkara tersebut ke penyidikan dan menetapkan 3 pihak sebagai tersangka,"" ucap Wakil Ketua KPK saat itu Laode M Syarif di kantornya, Jalan Kuningan Persada, Jakarta Selatan, Senin 29 April 2019. Singkat cerita, Surya Darmadi menghilang. Sampai pada Senin 15 Agustus 2022, Kejagung memeriksa tersangka kasus dugaan korupsi PT Duta Palma, Surya Darmadi. Kejagung juga menahan Surya Darmadi setelah dijemput di bandara. ",0.61942966,relevan
Horor Korban Jambret Terseret Motor Dikira Ribut dengan Suami di Bogor,"Peristiwa horor dialami seorang wanita bernama Sri Wulandari (27). Warga sempat mengira korban ribut dengan suaminya. Pelaku masih dalam pengejaran aparat kepolisian. Tiba-tiba dijambret oleh pelaku yang naik motor. "" Korban berinisial SW sedang menemani ibu korban untuk belanja ke warung,"" kata Olot, Senin 12 Agustus 2024. Kejadiannya di sini, kemarin sekitar jam 12.30 lah, habis azan Zuhur. Seorang juru parkir bernama Yudi (51) mengaku melihat kejadian itu. Jadi kalau saya mah kirain dia (korban) itu istrinya, lagi ribut atau apa gitu ya sama suaminya. Yudi mengaku melihat korban ketika mulai memegangi motor pelaku hingga terseret di aspal. Ia juga sempat mendekat jalan untuk menghentikan pelaku, namun pelaku terus memacu motornya. "" Tapi pas saya lihat, loh kasihan itu kok sampai diseret gitu. Sudah itu digas terus sama si jambretnya, dia (korban) keseret terus sampai sana, yang (toko) stasiun tas yang tutup itu,"" kata Yudi. "" Terus pas dia (korban) diseret, terus baru tuh pada ngejar,"" imbuhnya. ",0.82273139,relevan
KPK Periksa Eks Anggota DPR Miryam S Haryani Terkait Kasus E-KTP Besok,"KPK menjadwalkan pemeriksaan mantan anggota DPR RI periode 2009-2014, Miryam S Haryani (MSH), dalam kasus korupsi pengadaan e-KTP besok. Namun Miryam absen pada pemanggilan tersebut dan dijadwalkan diperiksa ulang besok. Dia berharap yang bersangkutan dapat menghadiri pemeriksaan besok hari. "" Di mana sudah disampaikan oleh Penasihat hukum yang bersangkutan bersedia hadir besok hari Selasa. Jadi kita sama-sama tunggu dan kita harapkan kehadiran saudari MSH,"" tambahnya. KPK kemudian kembali menetapkan Miryam S Haryani sebagai tersangka dalam korupsi e-KTP. Korupsi yang menjerat Miryam itu dikenal dengan kode 'uang jajan'. KPK menemukan bukti permulaan yang cukup tentang keterlibatan pihak lain dalam dugaan korupsi pengadaan paket penerapan KTP elektronik tahun 2011-2013,"" kata Saut dalam jumpa pers di gedung KPK, Jl Kuningan Persada, Jakarta Selatan, Selasa 13 Agustus 2019. Keempat tersangka disangkakan melanggar Pasal 2 ayat 1 atau Pasal 3 UU Pemberantasan Tindak Pidana Korupsi jo Pasal 55 ayat 1 ke-1 jo Pasal 64 ayat 1 KUHP. Uang tersebut kemudian diserahkan ke perwakilan Miryam. Besaran uang yang diterima mencapai USD 1,2 juta.",0.8600985,relevan
"Merasa Dirugikan, Anak Musisi Laporkan Penyebaran Video Syur ke Polisi","Polisi mengungkap laporan baru terkait penyebaran video syur wanita AD, anak dari musisi Indonesia David Bayu. Laporan terbaru dilayangkan oleh pihak wanita AD sendiri. "" Dengan demikian, total ada tiga laporan polisi yang menjadi dasar pengusutan kasus tersebut. Dua laporan sebelumnya yakni berhubungan dengan dua penyebar MRS (22) dan JE (35) yang sudah terlebih dahulu diringkus polisi. "" Ade Ary mengimbau masyarakat untuk tidak menyebarluaskan video tersebut. Terbaru, pihak kepolisian menangkap pria AP (27) yang merupakan mantan pacar wanita AD tersebut. Menyebarkan video bermuatan melanggar kesusilaan dan atau pornografi melalui media sosial Twitter atau X dengan akun S*** username @b****,"" kata Dirkrimsus Polda Metro Jaya Kombes Ade Safri Simanjuntak kepada wartawan, Senin 12 Agustus. Dia menyebarkan video syur tersebut lantaran sakit hati diputuskan. Video syur tersebut direkam pada Desember 2022 yang lalu. "" Motif tersangka menyebarkan adalah karena tersangka sakit hati setelah diputuskan sebagai kekasih oleh saksi AD,"" ujarnya. Video syur tersebut pun diunggahnya di media sosial X yang kemudian tersebar luar. "" Tersangka ingin mempermalukan AD dengan menyebarkan video bermuatan asusila atau pornografi dimaksud,"" tuturnya.",0.92075398,relevan
Viral Tunanetra Sulit Jalan gegara Trotoar Jaktim Jadi Parkiran-Lapak Jualan,"Video seorang penyandang tunanetra yang kesulitan melintas di atas trotoar karena terhalang motor yang parkir viral di media sosial (medsos). Satpol PP langsung bergerak melakukan penertiban. Trotoar memang cukup luas serta sudah dilengkapi bollard atau pembatas. Selain motor, gerobak pedagang kaki lima menutupi jalur tunanetra, yang menambah kesemrawutan di atas trotoar. Kalau sifatnya mengimbau, hari itu selesai, hari itu ditindak,"" kata Kasatpol PP Jakarta Timur Budhy Novian saat dihubungi, Senin 12 Agustus 2024. Penindakan dilakukan Satpol PP bersama tim gabungan, mulai dari Dinas Perhubungan hingga Bina Marga terhadap para pemilik motor. Saat menindak, mereka mendapati tempat usaha tersebut memang tak memiliki tempat parkir. "" Kan jadi kendala yang sudah lama sekali,"" jelasnya. Kesulitan kita kan ini personel sedikit, sebaran okupasi trotoar itu banyak ya. jadi memang kita perlu kesadaran juga masyarakat taat dan patuh, jangan kemudian parkir di trotoar sehingga menghalangi. Tapi ke depannya beberapa lokasi prioritas akan dilakukan patroli,"" imbuhnya.",0.31016424,relevan
"Dijamin JKN, Pensiunan ASN di Toraja Utara Jalani Rawat Jalan Gratis","Pemerintah melalui program JKN menghadirkan layanan kesehatan komprehensif bagi masyarakat, termasuk pensiunan Aparatur Sipil Negara (ASN). Manfaat program jaminan kesehatan ini telah dirasakan, salah satunya oleh PD Sarungu (76). Sehingga ia pun harus melakukan kontrol rutin ke rumah sakit. "" Awal mula saya terkena penyakit ini pada beberapa tahun lalu, saat itu saya merasa nyeri di kepala saya terus setelah saya periksa ke rumah sakit ternyata saya terkenan tekanan darah tinggi yang membuat saya harus menjalani rawat inap selama 6 hari di rumah sakit,"" jelas Sarungu. Secara pribadi dirinya tidak mengalami kendala yang berarti dalam hal layanan kesehatan yang didapat. "" Sarungu menambahkan selama perawatan tidak berhenti mengonsumsi obat atas saran dokter. Menurutnya program JKN tidak hanya bisa dimanfaatkan oleh segmen pensiunan. Selama menjalani pengobatan di rumah sakit, dirinya banyak melihat pasien yang memanfaatkan program JKN untuk pengobatan mereka. Sarungu menilai menjadi peserta aktif JKN adalah pilihan yang bijak. Saya saat ini kesehatan saya sudah dijamin oleh Program JKN dengan biaya pengobatan gratis tentunya meringankan beban saya dalam melakukan perawatan secara rutin, bukan hanya saya pastinya masyarakat lain juga merasakan manfaat dari Program JKN. Semoga program yang sudah berjalan baik terus ditingkatkan dan BPJS Kesehatan selalu ada untuk membantu masyarakat lebih luas,"" ungkapnya. Simak juga Video 'Konfrensi Internasional ICT Ekosistem Digital BPJS Kesehatan di Apresiasi:",0.12719762,berlebihan
Kemeriahan PKKMB UNJA: Rektor Naik Traktor hingga Catat Rekor MURI Senam,"Pembukaan Pengenalan Kehidupan Kampus Mahasiswa Baru (PKKMB) tahun 2024 Universitas Jambi (UNJA) berlangsung meriah. Beberapa momen unik hadir di PKKMB UNJA, seperti momen Rektor UNJA menaiki traktor saat memasuki lokasi acara hingga pencatatan Rekor MURI 'Senam PKKMB dengan Jumlah Mahasiswa Baru Terbanyak'. Hal ini menyimbolkan semangat kerja keras dan ketahanan dalam memajukan pendidikan dan pertanian di Jambi. Momen ini disambut meriah oleh seluruh hadirin dan menambah semangat dalam rangkaian acara. Para tamu undangan dan peserta PKKMB pun disuguhi penampilan Tari Penyambutan dari Sendratasik UNJA dan Tari Tradisional Papua oleh Persatuan Mahasiswa Papua UNJA. Pencatatan rekor ini diharapkan dapat mengharumkan nama UNJA di kancah nasional. Ia berharap mereka dapat memanfaatkan kesempatan belajar di UNJA sebaik-baiknya. Mahasiswa baru semuanya adalah orang-orang terpilih dengan perbandingan 1:20 dari calon mahasiswa yang mendaftarkan dirinya menjadi mahasiswa Universitas Jambi. Saya juga mengucapkan terima kasih kepada seluruh panitia yang terlibat,"" ujar Helmi dalam keterangan tertulis, Senin 12 Agustus 2024. Sementara itu, Wakil Rektor Bidang Kemahasiswaan dan Alumni Fauzi Syam menyampaikan PKKMB ini merupakan prosesi sakral bagi setiap mahasiswa baru untuk menumbuhkan semangat. "" Tahun 2024 ini, panitia sengaja mengajak seluruh mahasiswa baru untuk memecahkan Rekor MURI, yang merupakan yang pertama dalam sejarah UNJA. Penyerahan hibah ini merupakan langkah penting dalam upaya pengembangan dan perluasan fasilitas pendidikan di UNJA. Sementara itu, dalam sambutannya melalui video, Mendikbudristek Nadiem Makarim berharap agar mahasiswa baru UNJA dapat menjadi generasi emas yang mampu membawa perubahan positif bagi bangsa.",0.91251747,relevan
Jaksa Agung Perintahkan Jampidsus Selesaikan Tunggakan Perkara,"Jaksa Agung ST Burhanuddin meminta jajarannya tidak tebang pilih perkara. Semua perkara yang diusut disebut Burhanuddin harus dituntaskan. "" Tidak ada khusus terkait salah satu perkara,"" kata Burhanuddin kepada wartawan, Senin 12 Agustus 2024. Sedangkan baru-baru ini Direktur Penyidikan (Dirdik) pada Jampidsus, Kuntadi, mendapat promosi sebagai Kepala Kejaksaan Tinggi (Kajati) Lampung. Sebagai bagian dari kebutuhan organisasi. Sejumlah jabatan di lingkungan Kejagung juga mengalami penyegaran.",0.94712186,relevan
