Title,Summary,Cosine Similarity,Label
Jokowi Pastikan Kerja Sama Indonesia dan Afrika Berlanjut di Pemerintahan Prabowo,"Presiden Joko Widodo Jokowi mengatakan, Indonesia berkomitmen melanjutkan kerja sama dan solidaritas dengan negaranegara di kawasan Afrika. Indonesia tetap berkomitmen untuk memperkuat kerja sama dan solidaritas dengan negaranegara di kawasan Afrika dan ini juga akan dilanjutkan oleh pemerintahan berikutnya,"" kata Jokowi dalam pidatonya di Gala Dinner IndonesiaAfrica Forum IAF ke2 di Bali yang disiarkan kanal Youtube Sekretariat Presiden, Minggu 1 September 2024. Penyelenggaraan IAF ke2 akan dirangkai dengan High Level Forum on MultiStakeholder Partnerships HLFMSP. Penyelenggaraan IAF 2024 merupakan kelanjutan dari kesuksesan IAF pertama yang dilaksanakan pada 2018.",0.9121338,relevan
Jokowi Perkenalkan Prabowo di Forum Indonesia Afrika,"Presiden Joko Widodo Jokowi memperkenalkan presiden terpilih RI, Prabowo Subianto di hadapan Forum IndonesiaAfrika IAF di Bali, Minggu 1 September 2024. Pada kesempatan yang menggembirakan ini izinkan saya untuk memperkenalkan presiden terpilih Indonesia, Bapak Prabowo Subianto yang akan dilantik bulan depan dan akan memimpin Indonesia ke depannya,"" kata Jokowi pada saat membuka jamuan makan malam peserta IAF. Dia menyebut forum ini didedikasikan untuk memajukan pembangunan global yang inklusif dan berkelanjutan. "" Dikutip Antaranews, IAF mengusung tema ""Strengthening MultiStakeholder Partnerships Towards a Transformative Change. Terdapat sesi utama Joint Leaders Session IndonesiaAfrika IAF dan HLF MSP 2024 serta HighLevel Plenary Session pada hari kedua.",0.78760684,relevan
Anies Dinilai Punya Modal Politik untuk Bikin Partai demi Jaga Eksistensinya,"Pengamat politik Universitas Islam Negeri UIN Syarif Hidayatullah, Adi Prayitno menyebut Anies Baswedan memiliki modal politik untuk mendirikan partai. Adapun Anies telah mengungkapkan niatnya mendirikan partai politik setelah batal diusung menjadi calon kepala daerah oleh partai politik manapun pada Pilkada Serentak 2024. "" Selain modal politik, Anies juga dinilai memiliki basis massa yang bisa dikapitalisasi untuk membesarkan partai baru yang ia dirikan. Anies akan dipandang sebagai sosok yang sejajar dengan tokohtokoh politik seperti Wiranto yang mendirikan Hanura, Prabowo Subianto yang mendirikan Gerindra, Surya Paloh yang mendirikan Nasdem setelah mereka keluar dari Partai Golkar. Saya kira publik menunggu Anies bikin partai politik baru, terutama untuk menjaga eksistensi politik Anies di lima tahun yang akan datang,"" tutur Adi. Kendati begitu, Anies belum bisa memastikan kapan rencana mendirikan parpol baru itu akan diwujudkan. Anies menyebut, semua partai politik saat ini tersandera kekuasaan. Kemudian ada yang usul saya masuk partai atau bikin parpol. Jangankan masuk, mencalonkan saja terancam,"" ungkap Anies.",0.44180822,relevan
"Prabowo: Kalau Pun Koruptor Lari ke Antartika, Aku Kirim Pasukan Khusus","Ketua Umum Ketum Partai Gerindra sekaligus presiden RI terpilih, Prabowo Subianto menyiapkan anggaran khusus untuk pemberantasan koruptor. Hal itu disampaikan Prabowo dalam acara penutupan Rapimnas Partai Gerindra Sabtu, 31 Agustus 2024. "" Saya akan sisihkan anggaran khusus untuk pemberantasan dan pengejaran koruptor-koruptor itu,"" kata Prabowo. "" Semua indikator menunjukkan kita di ambang kebangkitan yang luar biasa. Kalau bisa, kita habiskan korupsi dalam waktu singkat, minimal kita tekan, kurangi, kurangi dan kurangi. Selaras dengan komitmennya untuk memberatas korupsi, Prabowo juga mengajak seluruh elemen bangsa untuk bersamasama melawan dan memberantas penyelundupan serta permasalahan narkoba. """,0.9152559,berlebihan
"PDI-P Sebenarnya Sudah Dapat Titik Temu dengan Anies, tetapi Dihadapkan Dinamika di Internal","Ketua DPP PDIP Deddy Yevri Sitorus mengungkapkan bahwa partainya sebenarnya sudah menemukan titik temu dengan mantan Gubernur DKI Jakarta, Anies Baswedan untuk diusung di Pilkada Jakarta 2024. Titik temu itu yakni bahwa antara PDIP dan Anies sepakat, Jakarta harus dipimpin orang yang berpengalaman hingga memegang teguh ideologi negara. "" Nah, di komunikasinya baik, ada kesepahaman bahwa memang diperlukan kepemimpinan yang kuat, berpengalaman dan teguh memegang ideologi negara begitu ya. Deddy menyampaikan bahwa komunikasi itu semula digagas oleh DPD PDIP Jakarta. Jadi tarikmenarik itu antara yang menginginkan menang, berdasarkan hitunganhitungan logika, berdasarkan survei mood masyarakat, kan begitu. Diskusi mengenai siapa yang akan dicalonkan di Pilkada Jakarta pun berlanjut dan semakin kencang menjelang detikdetik akhir pendaftaran pasangan calon kepala daerah. Deddy mengungkapkan, muncul kembali nama mantan Sekjen PDIP sekaligus Sekretaris Kabinet Pramono Anung sebagai kader potensial dimajukan di Pilkada Jakarta. "" Ya, kan sebenarnya jauhjauh hari, Pak Sekjen Hasto Kristiyanto itu sudah termasuk DPP yang lain, seperti Pak Said Ketua DPP PDIP Said Abdullah misalnya, itu kan sudah mengangkat nama Mas Pramono Anung, jauh sebelum nama Anies berkibar untuk PDI Perjuangan,"" ungkap anggota DPR RI ini. Situasi politik di PDIP untuk Pilkada Jakarta dan Jawa Barat begitu dinamis. Pada akhirnya, PDIP tak jadi mengusung Anies di Pilkada Jakarta maupun Jabar. Sebab, di Jakarta mereka mengusung Pramono AnungRano Karno, sedangkan di Jabar mengusung Jeje Wiradinata dan artis Ronal Surapradja.",0.15961595,berlebihan
Jokowi Ucapkan Selamat ke Peraih Perak di Paralimpiade Paris 2024 Saptoyogo Purnomo,"Presiden Republik Indonesia Joko Widodo mengucapkan selamat kepada Saptoyogo Purnomo yang sukses meraih medali perak di Paralimpiade 2024. Selamat kepada Saptoyogo Purnomo atas kemenangan gemilang di Paralimpiade 2024! tulis Jokowi melalui akun resmi Instagramnya jokowi, Minggu 1 September 2024. Tak cuma melampaui target, prestasi Saptoyogo mendapatkan medali perak juga diiringi pemecahan rekor pribadi. Ketika tampil pada babak final atletik nomor 100 meter putra klasifikasi T37 di Stade de France, SaintDenis, Perancis, Jumat 30 Agustus 2024 atau Sabtu 31 Agustus 2024 dini hari pukul 01.00 WIB, Saptoyogo mencatatkan waktu 11,26 detik.",0.89473295,relevan
Banalitas Demokrasi di Era Jokowi,"DEMOKRASI sebagai pilar utama keterlibatan rakyat dalam pengambilan keputusan kini menghadapi tantangan serius di Indonesia. Menjelang akhir masa pemerintahan Presiden Joko Widodo, demokrasi Indonesia mengalami proses reduksi yang dikenal sebagai banalitas, di mana proses demokrasi yang seharusnya mendalam dan berarti menjadi sekadar ritual formalitas tanpa substansi. Banalitas mengancam esensi nilainilai demokrasi dan keberlangsungan institusiinstitusi demokratis di Indonesia. Dalam artikel ini, kita akan mengeksplorasi fenomena banalitas demokrasi di Indonesia, memeriksa akar dan perkembangannya, serta mengusulkan solusi konkret untuk memulihkan dan memperkuat demokrasi di masa depan. Di bawah kepemimpinan Jokowi, banalitas demokrasi mencapai puncaknya melalui populisme yang mengutamakan politik pencitraan. Misalnya, blusukan yang awalnya dimaksudkan untuk mendekatkan pemimpin kepada rakyat sekarang sering dipandang sebagai alat politik untuk meningkatkan popularitas tanpa perubahan struktural berarti. Data empiris menunjukkan ketimpangan antara popularitas individu dan kepercayaan terhadap institusi. Meskipun Jokowi menikmati popularitas tinggi, tingkat kepercayaan publik terhadap lembagalembaga demokrasi seperti DPR dan peradilan menurun.",0.56547344,relevan
Megawati Titip Salam untuk Prabowo Lewat Azwar Anas,"Ketua Umum PDI Perjuangan Megawati Soekarnoputri melalui salah seorang kadernya, Abdullah Azwar Anas, menyampaikan permohonan maaf atas ketidakhadirannya dalam penutupan Rapat Pimpinan Nasional Rapimnas Gerindra. "" Salam permohonan maaf dari Megawati karena malam ini tidak bisa hadir dan ketika berpamitan dengan Prabowo, saya menyampaikan salam hormat kepada Prabowo,"" ujar Azwar usai menghadiri Rapimnas Gerindra, Sabtu 31 Agustus 2024. Diketahui, Rapimnas Gerindra turut mengundang para ketua umum partai politik. Azwar yang sekaligus menjabat Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi PANRB menjelaskan, Megawati berhalangan hadir karena sedang sibuk mengurus administrasi pencalonan pemilihan kepala daerah. "" Karena beliau memang sangat sibuk dengan tanda tangan, tanda tangan rekomendasi dari para calon yang belom selesai dan ada banyak sekali administrasi yang beliau selesaikan,"" jelas dia. Prabowo kemudian mengonfirmasi hal ini kepada Azwar. Kader PDIP itu kemudian membenarkannya dengan mengangguk. "" tanya Prabowo dibalas anggukan oleh Azwar. Partai politik yang diundangnya juga tidak hanya berasal dari Koalisi Indonesia Maju KIM. """,0.26297325,relevan
Ketika Jokowi Percaya Prabowo tapi Tetap Titipkan soal Keberlanjutan...,"Presiden Joko Widodo Jokowi sempat mengungkapkan bahwa dirinya sangat percaya Presiden RI terpilih periode 20242029 Prabowo Subianto bakal melanjutkan program yang telah dilakukan di era pemerintahannya. Rasa percaya saya bahwa ke depan dengan kepemimpinan Bapak Prabowo Subianto, Indonesia dengan keberlanjutannya akan mampu meraih citacita Indonesia maju, Indonesia Emas di 2045. Menurut Jokowi, keberlanjutan penting agar bangsa Indonesia tidak habis waktu karena terus berubah arah kebijakan atau haluan setiap ganti pemerintahan. Hanya untuk berganti haluan tiap ganti kepemimpinan, ujarnya. Kemudian, Jokowi menekankan bahwa hanya Prabowo sebagai Presiden RI terpilih yang bisa melanjutkan semua program tersebut. Dan yang bisa melanjutkannya itu semua ada di Bapak Prabowo Subianto, kata Jokowi. Kami akan melanjutkan semua program bapak, yang kurang akan kita perbaiki, kata Prabowo dalam pidatonya saat penutupan Rapimnas Gerindra, Sabtu. Saya percaya beliau hatinya merah putih, jiwanya untuk rakyat Indonesia. Berkalikali beliau pesan kepada saya, Menhan, Indonesia tidak bisa maju, rakyat tidak bisa sejahtera kalau kita tidak lakukan hilirasasi. Namun, dalam pidatonya, Prabowo juga menggarisbawahi bahwa tidak ada pemimpin yang sempurna. Oleh karena itu, dia mengajak semua elemen bangsa bersatu untuk membangun negara ini.",0.107943356,relevan
"Soal Laporan Dugaan ""Mark Up"" Gas Air Mata, KPK: Jika Layak Akan Ditindaklanjuti","Aliansi Masyarakat Sipil untuk Reformasi Kepolisian melaporkan hasil temuan terkait dugaan korupsi pengadaan gas air mata selama Tahun Anggaran TA 20222023 di lingkungan Polri kepada Komisi Pemberantasan Korupsi KPK, Senin 2 September 2024. Aliansi Masyarakat Sipil berharap KPK berani menindaklanjuti laporan mereka terkait dugaan korupsi di lingkungan aparat penegak hukum tersebut. Dan bila sudah lengkap akan ditelaah dan pengumpulan info. Bila dinyatakan layak untuk ditindaklanjuti, maka akan diproses ke tingkat penyelidikan,"" kata Tessa saat dihubungi Kompas.com, Senin. Dan bila belum layak, akan diminta pelapor untuk melengkapi lagi kekurangannya,"" ujarnya. Ia juga mengatakan, adanya indikasi mark up atau kemahalan harga yang dilakukan oleh panitia pengadaan barang. Ia mengatakan, dugaan mark up ini mencapai Rp 26 miliar. "" Ia mengatakan, berdasarkan diskusi yang dilakukan bersama KPK, kasus dugaan korupsi pengadaan gas air mata tersebut tidak sulit untuk ditindaklanjuti. "" Korupsi yang terjadi atau melibatkan aparat penegak hukum itu justru akan merusak citra dari penegak hukum sendiri jadi harapannya KPK bisa punya keberanian dan benar benar bisa menangani kasus ini sampai selesai,"" ucap dia.",0.24054986,relevan
"Rekrutmen di RS Medistra Diduga Tanya Kesediaan Calon Nakes Lepas Hijab, Fahira Idris: Pelanggaran Serius","Anggota Dewan Perwakilan Daerah DPD RI Dapil Daerah Khusus Jakarta DKJ Fahira Idris mengungkapkan, menyoroti dugaan pertanyaan kesediaan lepas hijab kepada calon tenaga kesehatan nakes di Rumah Sakit RS Medistra, Jakarta. "" Dia menjelaskan, hal itu bukan hanya melanggar prinsip-prinsip hak asasi, tetapi juga bertentangan dengan konstitusi Indonesia yang menjamin kebebasan menjalankan keyakinan agama bagi setiap warganya. Terkait hal itu, dia meminta adanya investigasi dari pemangku kepentingan terkait terkait dugaan adanya pertanyaan kesediaan lepas hijab kepada calon nakes di RS Medistra. Pihak manajemen RS, dalam hal ini RS Medistra, perlu memastikan kebijakan rekrutmen dan lingkungan kerja mereka sepenuhnya mendukung kebebasan menjalankan keyakinan beragama termasuk mengenakan jilbab, katanya. Oleh karenanya, kata dia, masyarakat berhak mengetahui hasil dari investigasi ini itu dan pihakpihak yang terlibat dalam tindakan diskriminatif ini harus diberi sanksi yang sesuai. Senator Jakarta itu mengatakan, jika dugaan pertanyaan kesediaan melepas jilbab itu benar, harus ada investigasi lebih lanjut apakah pertanyaan tersebut memang bagian dari template pertanyaan dalam proses seleksi calon nakes di RS Medistra, atau hanya tindakan spontanitas dari individu tertentu. Adapun pihak RS Medistra sudah melayangkan permohonan maaf usai dugaan tersebut viral dan mengklaim tengah menangani hal tersebut. Namun, pemangku kepentingan terkait diminta tetap melakukan investigasi.",0.20477614,relevan
