Title,Summary,Cosine Similarity,Label
"Tiba-Tiba Jadi Suami Beristri Dua di Film, Ibrahim Risyad: Untung Dua-duanya Akur","Drama percintaan di film Laut Tengah ternyata tak cuma membebani Yoriko Angeline selaku pemeran Haia, yang tiba-tiba diharuskan menikah dengan suami perempuan lain. Ibrahim Risyad, aktor pemeran sosok Bhumi yang tiba-tiba beristri dua pun sama-sama merasakan gejolak batin saat tawaran pertama datang. Di kehidupan nyata, Ibrahim Risyad bukan lelaki penganut poligami. Memiliki satu pasangan saja dinilai Ibrahim sudah lebih dari cukup. "" Ibrahim Risyad juga melihat isu seorang suami memiliki istri lebih dari satu berpotensi menimbulkan kemarahan dari kaum perempuan. ""Cukup berat memang, karena ini isu sensitif. Bisa dibilang, di Indonesia ini orang-orang, apalagi khususnya ibu-ibu, mereka pasti kesel lah dengan isu-isu seperti ini,"" terang Ibrahim Risyad. Pernikahan mereka ini bukan sesuatu yang diinginkan kok. Ini keterpaksaan, tapi bagian dari takdir,"" jelas Ibrahim Risyad. Bahkan, kehadiran Haia di tengah kehidupan Bhumi dan Aisa dapat memberikan berbagai pelajaran hidup baru untuk kedua pasangan. "" Untungnya, dua-duanya akur, alhamdulillah. Mereka ini datang dalam kurun waktu yang berbeda, dan sama-sama memberikan cinta. Secara garis besar, film Laut Tengah bercerita tentang perjuangan Haia mengejar mimpi melanjutkan pendidikan ke Korea Selatan. Namun untuk mewujudkan hal itu, Haia harus menyatakan kesediaan menikah dengan Bhumi, keponakan sang dosen yang sudah beristri.",0.1895412,relevan
"Rujuk dengan Ira Nandha, Elmer Syaherman Ternyata Tak Kerja di Citilink Lagi: Mokondo?","Rumah tangga Elmer Syaherman dan Ira Nandha sempat jadi sorotan jelang tahun 2023 berakhir. Namun Ira memutuskan untuk memaafkan Elmer yang sudah berselingkuh dengan rekan kerjanya, Bella Damaika. Keharmonisan kini terus ditampilkan Elmer Syaherman melalui Instagram pribadinya. Sindiran tersebut tak lagi digubris oleh Ira belakangan ini. Pasalnya perselingkuhan Elmer sekitar setahun lalu dilakukan dengan pramugari di maskapai yang sama. Sayangnya Ira Nandha tak memberikan keterangan apapun lagi selain informasi sudah keluar dari Citilink. "" Karena Ira Nandha tak menjawab perihal pekerjaan baru Elmer Syaherman, warganet kembali mengungkit ketenarannya. Ira diledek mendapat ketenaran dan harta karena memviralkan perselingkuhan suami sendiri, tetapi kemudian rujuk lagi. ""Gak kerja mungkin kan istrinya udah banyak uang,"" sindir akun @niaaa.f***. "" Kendati begitu, warganet menyebut Elmer Syaherman masih jadi pilot tetapi di maskapai penerbangan lain. Sebelumnya Bella Damaika juga sempat viral pindah maskapai sehingga dua pegawai Citilink tersebut kemungkinan sama-sama dipecat. "" Elmer udah pindah maskapai,"" tutur akun @farhah***. """,0.18900014,berlebihan
"Sudah Keluar, Hasil Visum Lolly untuk Buktikan Pernah Hamil Jadi Bukti Luar Biasa","Hasil visum lanjutan anak Nikita Mirzani, Laura Meizani Mawardi alias Lolly sudah keluar. Lolly sebelumnya menjalani visum lanjutan di RS Dr. Cipto Mangunkusumo pada hari ini, Senin 30 September 2024. Ini (visum) adalah proses tersendiri dengan hasil yang sendiri, tapi itu adalah bukti yang sangat luar biasa,"" kata Fahmi Bachmid saat ditemui di kawasan Condet, Jakarta Timur, Senin 30 September 2024.Sayangnya, Fahmi Bachmid tak bisa mengungkap detail dari hasil visum tersebut. Dia juga tak menjelaskan gamblang apakah benar Lolly pernah hamil atau aborsi seperti yang dituduhkan. Hasilnya seperti apa, saya maaf tidak bisa menyampaikan. ""Dia (Lolly) ikuti prosesnya dan dia tidak ada sesuatu melawan dan sebagainya,"" ungkapnya. "" Dan proses tadi adalah proses visum yang sangat maksimal dan hasilnya luar biasa. Polisi sendiri sudah memeriksa 13 orang terkait laporan tersebut. Sementara Laura Meizani Mawardi juga sudah divisum untuk membuktikan kebenaran dari tuduhan Nikita Mirzani.",0.3213995,relevan
"Kibarkan Bendera Finis MotoGP Mandalika, Maia Estianty Ngaku Dibantu Orang Dalam","Momen istri Irwan Mussry, Maia Estianty, mengibarkan bendera finis dalam ajang balap MotoGP Mandalika sedang hangat dibicarakan publik. "" Aku senang banget karena bisa berpartisipasi dalam acara MotoGP yang ditonton sedunia. Sebelum naik itu deg-degan, kayak, 'Aku bisa nggak ya ngibarin bendera itu? Dari unggahan yang beredar, Maia Estianty tampil dalam balutan busana daster motif bunga. Dia tampak energik saat mengibarkan bendera finis. Maia Estianty mengungkap, alasan dirinya bisa didapuk sebagai pengibar bendera finis di Sikurit Mandalika adalah karena bantuan orang dalam. "" Dan jalur orang dalam,"" kata Maia Estianty. Untuk informasi, Irwan Mussry adalah CEO Time International, sebuah perusahaan yang mengelola toko ritel untuk merek-merek terkemuka di bidang fesyen, jam tangan, dan perhiasan. Tisset merupakan salah satu brand yang ikut dikelola dan jadi sponsor utama MotoGP.",0.48721716,relevan
"Hormati Bulan Pencegahan Bunuh Diri, Keluarga Benarkan Rapper Chino XL Meninggal Gantung Diri","Keluarga akhirnya mengonfirmasi bahwa rapper Chino XL meninggal dunia karena bunuh diri. Keluara merasa perlu mengonfirmasi kematian Chino untuk menghormati hari ""pencegahan bunuh diri dunia"" yang jatuh pada 10 September. Selain itu, rapper yang terkenal karena punchline-nya ini juga berjuang melawan depresi sepanjang hidupnya. Anak-anak mendiang mengungkapkan duka mendalam atas kehilangan ayah mereka. "" Ayah sangat mencintai kami dan mengajarkan banyak hal,"" kata putrinya dalam pernyataan tersebut. Ratusan email, pesan, obrolan, dan posting indah di media sosial telah menunjukkan kepada kami betapa besar kekuatan Ayah untuk banyak orang,"" lanjut pernyataan keluarga. Sebuah upacara pemakaman pribadi akan diadakan sesuai permintaan keluarga. Mereka mengklarifikasi laporan palsu bahwa album Chino yang direncanakan rilis pada Oktober telah bocor secara ilegal oleh seseorang yang mengaku bekerja atas nama keluarga. "" Keluarga telah mengambil tindakan hukum terhadap individu tersebut.",0.5760789,relevan
"Guru Ngaji Vadel Badjideh Lihat Lolly Bolak-balik, Berani Bersaksi soal Wajah Asli: Waktu Papasan...","Selain ketua RT, guru mengaji Vadel Badjideh juga ikut memberikan kesaksian soal Laura Meizani di kawasan Pesanggrahan, Jakarta Selatan. Menurut guru mengaji Vadel Badjideh yang bernama Irma, Laura Meizani cukup sering berkunjung ke rumah Vadel Badjideh. Informasi itu diperoleh Irma dari anaknya. ""(Anak saya) Beberapa kali (lihat Lolly di sekitar rumah Vadel Badjideh), ya namanya ngeliat artis, katanya 'ada Lolly ada Lolly' senang aja gitu,"" kata Irma. Irma mengaku melihat Lolly ketika berkunjung ke rumah duka. "" Pas mau pemakaman keponakannya Vadel yang masih bayi,"" tutur Irma, ditilik dari YouTube Intens Investigasi pada Senin 30 September 2024. Untuk informasi tambahan, ketua RT kawasan Pesanggrahan, Jakarta Selatan, juga sempat memberikan kesaksian soal keseharian Vadel Badjideh.",0.6216653,berlebihan
"Komentar Menohok Oki Rengga Saat Menpora Dito Kasih Nilai 8 untuk Penyelenggaraan PON 2024: Aduh Pak, Saya Aja Malu","Komika sekaligus mantan atlet, Oki Rengga mengkritik Menpora Dito Ariotedjo yang telah memberi nilai 8,5 kepada penyelenggaraan PON 2024 di Aceh-Sumut. Kritik disampaikan Oki saat jadi co-host acara Somasi di kanal YouTube Deddy Corbuzier. Aduh Pak Dito, saya sebagai orang Sumut malu sama PON ini,"" ungkap Oki Rengga. Sudah pasti (dihujat) saya orang duluan orang pertama. Pasalnya, dia tahu bagaimana buruknya penyelenggaraan PON 2024.Pertama, Oki menyinggung makanan yang diberikan para atlet yang berjuang di sana. "" Maksudnya tuh dana yang dikeluarkan hampir Rp4 triliun. Menghabisin uang negara hampir 4 triliun, makannya setiap hari nasi kotak cuma pakai tempe. Hasil dari penjualan susu tersebut untuk membeli nasi. "" yang bener-bener ngumpulin susunya itu dari awal sampai habis. Namun, Oki meralat nilai 4 yang awalnya dia berikan.",0.541037,berlebihan
"Ngakak! Vidi Aldiano Panik Diarak Pakai Sisingaan, Takut Jahitan Sunat Lepas","Momen lucu terjadi saat Vidi Aldiano ditandu naik sisingaan, sebuah tradisi khas pengantin sunat, yang sukses mencuri perhatian warganet. Dalam video yang diunggah di media sosial, Vidi terlihat panik hingga berteriak saat pertama kali mencoba sisingaan tersebut. Vidi Aldiano naik sisingaan untuk merayakan satu tahun podcast-nya, PodHub, bersama Deddy Corbuzier. Ide unik ini datang dari tim kreatif yang berhasil memprank Vidi. Dalam video, Vidi nampak mencobanya terlebih dahulu sebelum acara dimulai. "" Walau takut, sebagai seorang profesional, Vidi tetap melanjutkan aksinya hingga keluar menuju panggung, meskipun ekspresi takutnya menjadi bahan tertawaan penonton. Gue enggak dikasih briefing opening kayak gini. Ini yang pada komen biasanya beginian buat sunatan, gimana sih konsepnya ini kan goyang-goyang. Sejumlah warganet mencoba menjelaskan tentang tradisi sisingaan yang berasal dari Jawa Barat, khususnya Sumedang. "" Biasanya sebelum disunat, anak yang mau disunat diarak dulu keliling kampung pakai sisingaan,""  kata warganet lainnya. """,0.24747247,berlebihan
"Nikita Mirzani Murka Tahu Hasil Visum Lolly, Diduga Ungkap Kehamilan dan Aborsi","Nikita Mirzani sudah mengetahui hasil visum sang putri, Laura Meizani Mawardi alias Lolly. Diketahui proses visum tersebut dilakukan guna menemukan bukti dari laporan persetubuhan dan aborsi yang dilayangkan Nikita terhadap kekasih Lolly, Vadel Badjideh. Fahmi Bachmid selaku kuasa hukum Nikita Mirzani mengungkap reaksi kliennya saat mengetahui hasil visum tersebut. ""Kalau ketemu tanyakan langsung (keadaan Nikita Mirzani), anda bisa melihat reaksi dia dari matanya, dari kalimat kalimatnya,"" kata Fahmi Bachmid saat ditemui di kawasan Condet, Jakarta Timur, Senin 30 September 2024. "" Dia juga belum mau mengonfirmasi apakah benar Lolly pernah hamil dan aborsi. Namun Fahmi memastikan bahwa hasil visum tersebut merupakan sesuatu yang luar biasa, bak bom yang siap meledak. "" Proses tadi adalah proses visum yang sangat maksimal dan hasilnya luar biasa. Anda tunggu bom meledak habis ini,"" ujar Fahmi. Ini tindak pidana kejahatan, seorang yang melakukan kejahatan (terhadap anak) di bawah umur, ancamannya 15 tahun (penjara). Jadi jangan terlalu membawa seolah ini percintaan. Polisi sendiri sudah memeriksa 13 orang terkait laporan tersebut.",0.15328607,relevan
Ernest Prakasa Sindir Aksi Perkenalan Bobby Nasution Sebagai Menantu Mulyono: Lucu?,"Komika Ernest Prakasa turut menanggapi aksi nyeleneh menantu Presiden Joko Widodo, yakni Bobby Nasution, saat berkunjung ke Kecamatan Batang Angkola, Tapanuli Selatan, pada Sabtu 28 September 2024. Kakak ipar Kaesang Pangarep itu menambahkan, ""Yang namanya Kahiyang Ayu Siregar, nah ini orangnya. ""Diketahui, Mulyono merupakan nama lahir dari Jokowi. Namun, kini nama tersebut digunakan oleh warganet di media sosial sebagai bahan olokan kepada sang Presiden. Ia membalas sebuah berita berjudul 'Bobby Kenalkan Kahiyang ke Pendukung: Kami Anak dan Menantu Mulyono'. Walau hanya satu kata, sindiran Ernest Prakasa justri dinilai lebih menohok daripada cibiran panjang lebar. "" Namanya orang nggak tahu malu ya gitu koh,"" ujar seorang warganet. Dia pikir lucu dan mau kasih kesan nggak mikirin julukan yang berbau cemoohan itu jadi dibuat bercandaan. Sebelum Bobby Nasution, Kaesang Pangarep juga sempat melakukan hal sama.",0.42743725,relevan
